id,seeker_post,response_post
49,"Well, I think it's because I've been eating more fruits and vegetables, that- that's it.","John, it's very important that you recognize that some fruits, but especially fruit juice can contain a huge amount of calories. Did you know that a glass of orange juice has almost as many calories as a can of cola?"
50,"To be honest, I have four or five -- four to six glasses of orange juice a day. Um, I have fruit for lunch and breakfast. I have, uh, usually one to two servings of a vegetable like lettuce or broccoli with thinner.","You're absolutely right, but keep in mind that the food pyramid is to be used as a guideline only. When it comes to nutrition, we have to have a more personalized approach. So I have a hunch, and that is the excess fruit that you were consuming probably caused your weight rebound. What's your impression?"
51,"No, I didn't know. Um, but doesn't the fruit- food pyramid classify, um, fruit juice as a- a serving?","Indeed. Let me ask you something, knowing what you know now, how important is it to you to lose the weight by decreasing the amount of juice that you're currently taking in?"
52,"Well, this changes quite a bit. I mean, here I'm thinking that my fruit intake is making me healthier and actually it's making me fatter.","Oh, I understand. Let me ask you this, on a scale from 0 to 10, 0 meaning that there's no way you can do it, and 10 meaning that you're 100% confident that you can do it, how confident are you that you'll be able to reduce the amount of juice you're currently taking in."
53,"Obviously, I need to cut back on the fruit juice. But boy, do I love that OJ.","All right. So, you're not a zero. So, that tells me that you've got some confidence that this is doable, this is something you certainly can do it. Why are you not a zero?"
54,"Um, six or seven.","So, you realize, again, that if you decrease the amount of juice you're taking in, you're gonna decrease your weight, you're gonna feel better, and you're gonna impact your po- health positively?"
55,I guess it's because I know that I need to do it to lose the weight.,"But you're also not a 10, and that tells me that there may be some obstacles to your success. What would it take for you to be a 10 or even an 8 or 9?"
56,Yes.,"Okay. Now, if the juice was still there, can you think of anything else you could do?"
57,"Getting the fruit juice of the house because I know if it's there I'll drink it. My wife does the shopping for us, so maybe if I ask her not to get the juice, that would solve it.","Excellent. John, I get the impression that you want to stay in course with weight reduction. And the best way to do this will be to decrease the amount of juice that you're currently taking in. So if I saw you in two weeks and I asked you how much juice you're t- drinking and how you did it, what would you tell me?"
58,"I suppose I could replace it with, um, a low-calorie drink or drink more water.","Excellent. Well, it sounds like you have a plan. Same scale, 0 to 10, how confident are you that you can, uh, make this happen?"
59,"I'd say I didn't have any and I substituted it with, um, sugar-free drinks.","I agree. All right. Well, you-you know what? I'm not gonna start any medications today. Your levels were a little bit off, but I think we can handle this from a purely lifestyle standpoint. What do you think?"
60,A 10.,Excellent. I'll see you in two weeks.
61,Great. It sounds good to me.,"Okay, and so what I'm hearing is that you don't feel like your health is concerning you right now, or anything like that?"
62,"Well see, my-my wife's been getting on me a lot lately about trying to improve my health habits, and I really don't see what the big problem is. I mean, I've been working real hard. Sometimes I can't come home for dinner, so I'm having to go out to eat at Applebee's or something like that, so-- but she seems to have a bigger problem, I really don't see what the big deal is.",Okay.
63,I-I-I feel fine.,"Okay. Have you noticed putting on any weight, or anything like--?"
64,"I mean, my-my work is really man-manual labor-intensive so I'm usually working out in-in the hot sun the majority of the day, so I'm usually sweating out any like bad things I put in my system, so—",Okay. Okay. And how about going to see the doctor? Have you gone to-- for a visit or anything recently?
65,"Well, a little bit, but nothing too-- you know. I'm not blo- I'm not bloated or anything.",Okay. But you feel that you feel good?
66,"Well, yeah, I've been to the doctor about maybe last year for a physical, but-- I mean, everything showed up to be fine, so—","Okay. Um, and so what I hear is that you're-- you feel like your wife might be, uh, overreacting to this?"
67,Yeah.,"Sure. Sure. Okay. Um, and so one thing I'd just like to do is maybe give you some information on, um, maybe obesity or diabetes if you're interested or open to that. If you're, you know--?"
68,"Well, I mean, not really overreacting. I know that she loves me and I know she-she wants me, uh, you know, live a long time and be healthy, but just sometimes, especially if you work a hard job, like kinda going out to eat at these places kinda makes you feel a little bit better about your situation.",Okay. Good.
69,Sure. [unintelligible 00:01:33],It's been a while.
70,Hi.,This is something new.
71,"Yeah, it's been a while.",You got your lip pierced. How long ago did you get that done?
72,"Oh, oh, yeah, the—Yeah",Hmm.
73,About a month.,What made you decide to get-get a lip piercing?
74,Yeah.,Hmm.
75,"Um, I don't know. I just felt like something different. I was getting bored and, I don't know, it's kind of nice to stand out a bit, I guess.","Yeah, and it looks nice."
76,"Yeah, change.","Um, I guess, you know, as your dentist, I have- I have a couple of concerns about lip piercings, oral piercings. I wonder what have you heard about how having an oral piercing can affect your-your teeth or your gums?"
77,Thanks.,Mm-hmm.
78,"I don't actually, really. I-I mean, I'm sure that it might push on my gums or teeth, but I don't know how much it will impact that much. I've pretty good teeth. I don't know.",You do. you have beautiful teeth as I always tell you-
79,I don't really know [unintelligible 00:01:04],-every time you come in.
80,[laughs] Thanks.,"Um, I mean I have had some patients with oral piercings and they can erode some of the gum right, um, just right there at the front."
81,Yeah.,"Um, so that's one-one thing, and the other is, um, I do see fair amount of chipped teeth-"
82,Mm-hmm.,-just from contact with it. I wonder what are your thoughts about that?
83,"Oh, yeah.","Yes, flossing."
84,"Well, I definitely don't want it mess with my teeth. I know I kinda already have low gums to begin with, like you've been telling me for a while, and I have to flo-floss, which I-",There's nothing yet.
85,"Um, which I'm not doing but, um, yeah, I guess, I don't really wanna wreck my teeth 'cause-- Yeah, I didn't really notice any of the chipping.","Yeah. There's certainly been-- There's no problems and you, as you said, only have had it for a short time."
86,I guess I'm not paying attention to it.,"Um, what would- what would make you decide, ""This is something that's not right for me?"""
87,Mm-hmm.,Mm-hmm.
88,"I don't know, I guess if I started to see that it was actually causing a problem, then I might.",Mm-hmm.
89,"But for now-- I mean, I just got and-",I guess that it does.
90,-and it looks pretty cool.,"Yeah, it looks nice. So, you want to monitor it and-and-"
91,"Yeah, I kinda-- Yeah.",-really watch-
92,Yeah.,-the effect? Okay.
93,Yeah.,Mm-hmm.
94,"Yeah. I guess if I really start to see a problem-- I mean, this might not last forever, but my teeth, I'm hoping-","Emily, you said it so well it-"
95,-will kind of stick [unintelligible 00:02:30],"-the-the piercing might not last forever, but your teeth really are-"
96,Yeah.,"-hopefully forever. So, okay, well thanks for-for talking about it-"
97,Yeah.,"-with me, and also before I do the exam, you know, I'm always on your case about flossing, so maybe we can take [inaudible 00:02:46]-"
98,Yeah.,"Hi, another session and another session where you are actually on time."
99,Hi.,"You've done-- You've got a really good track record of, uh, being on time. Yeah? Do you realize that?"
100,Yeah.,"Yeah. Yeah. You know, I've been thinking about, um, thinking about you, and thinking about, um, that first meeting we had, and where you are now. So, wh-what do you think some of the changes are that-that you've made in this- in this, sort of, five-five to six weeks that we've been meeting?"
101,"Yeah, no, it's easy.",Yeah?
102,Uh. Meeting's definitely helped.,Yeah?
103,Yeah. It's helped-,It's helped heaps?
104,-heaps.,"Yeah? So, what sort of things has it helped with?"
105,Yeah.,"Mm-hmm. So, what changes have you made, Billy?"
106,"Just, uh, someone to talk to and just someone to keep me busy and, kind of, keep me in check.",Mm.
107,"Um, well, I said I went to the polytech and stuff-",Mm-hmm.
108,"-and I went back there and got another form and stuff, and just helping me with that.","Yeah. And, get-getting to the polytech and getting the forms, that's a pretty big deal."
109,Yeah.,"Yeah? I was thinking about the Billy, say, the Billy of six months ago. I'm wondering if the Billy of six months ago would've done that?"
110,Yeah.,"Mm-hmm. So, what shifted that made it that you were actually able to go to the polytech and get the forms? What's shifted in you?"
111,Nah. I didn't really think about it frankly.,Mm.
112,"I don't know. I just thought if, uh, I could get a job and stuff, doing stuff I like, uh, it'll make things easier.","Yeah. Where have you got to with the forms? I mean, we talked about that quite a lot last time."
113,Yeah.,Mm-hmm.
114,"Yeah. Oh, I know. After talking to you, I got Donna to help me out, and that's just really helpful.","Okay. So, what did you say to Donna?"
115,[clears throat],Mm-hmm.
116,"[clears throat] Oh, I just said-- I said, ""Uh, could you give me a hand with this?""",Mm-hmm.
117,"And, like, she filled them up for me, and I told her what to write.","Okay. So, where did you get to in terms of telling her that, uh, reading and writing is not that [unintelligible 00:27:23] for you?"
118,Yeah.,Mm-hmm.
119,Just-- I-I asked her to fill that out for me because I said I'd be too messy.,"So, I was thinking about how that stuff about not feeling confident around reading and writing has, um, really got in the way for you."
120,Yeah.,"And I mentioned that's somewhere where you don't feel so confident, and I'm wondering what it would be like to feel confident with reading and writing. What difference would that make to your life?"
121,Yeah.,Mm.
122,"Like, a big difference, but, like, it's not like I don't try.","Yeah. Yeah, I can really see that you're making an effort. In fact, I can see that you're really making an effort in lots of areas, not just in terms of reading and writing."
123,"Like, I'm just not really good with it.",Mm.
124,"Yeah. Like [unintelligible 00:28:13] if I'd got into polytech and stuff, so I think that's good.","So, where are the forms now?"
125,Yeah.,Mm-hmm.
126,They're still at home.,"So, what needs to happen next?"
127,Yeah. If—,"So, you actually have to deliver them to the polytech, do you?"
128,Just take them in.,"Mm-hmm. So, when do you think you're gonna do that?"
129,"Yeah. Uh, I think you can post them, but I'll just drop them in.","Mm-hmm. So, by the end of this week, so by next time, when you come here, as in, those forms will be at the polytech?"
130,"Uh, probably by the end of this week.",And what-what happens next in terms of what happens once the forms are there?
131,Yeah.,"Mm-hmm. So what's the- what's the-- Say, if you get on the course-"
132,"I don't know. I don't know if you have to interview or whatever, but I guess, course-- I don't even know any course that I'll do.","-and, um, you're, like, real good with, uh, hands-on stuff, but the stuff around the manuals, and the assignments, and those sorts of things, um, don't feel so good. What-what do you think we need to do around helping you with that?"
133,Yeah.,Mm. Yeah?
134,"Well, um-- Well, I don't know. Hopefully, there's not so much of that stuff. Um, oh, well, I don't know. I could find out maybe someone who can help you, like, at the school, at the polytech, maybe somebody can help you out and stuff, or there might be computers there or something.","So, all these changes that you've- that you've made, um, Billy, where-where is the offending fitting into all of that now?"
135,Yeah.,"So, offending gets in the way of the life that you're starting to lead?"
136,Not really fitting in. It kind of just gets in the way.,"Yeah? So, what temptations have you had to, kind of, go back to offending?"
137,Yeah.,Mm. So the drinking is something that we talked about can make it easier for you to offend.
138,"Like like getting on the piss, but with Donna, there kind of keeps me busy.","So you've noticed that when you've been drinking that those feelings are coming back again, or?"
139,Yeah.,It's harder to think straight when you've been drinking?
140,"Yeah. I just wanna have a bit of a laugh and like go smash some windows or go and nick a car or something, but yeah. It's kind of harder to think straight.",Yeah. Yeah. And so you've got Donna around at the moment?
141,Yeah.,"And that's helping keep you in check, as you said?"
142,Yeah.,Yeah. What would happen if she wasn't around say or at a party or?
143,Yeah.,Okay. So Donna at the moment who kind of being there is like a strength?
144,I'd probably just go be stupid with my mates.,Mm. What do you think?
145,"Yeah. 'Cause if there's just like if a mate said they're gonna go out and pick a car or something, she just bumps them out and then-then I don't know. She say that's stupid and stuff. And I don't know. It gives me something to do.",Mm. Yeah. 'Cause I was thinking about that dream that you've got about the job and a life with Donna and-
146,"Just kind of stupid. Well, it's pointless, but still a bit of a laugh.",-kids and stuff like that and how you were saying that the offending doesn't fit in with that dream or that idea.
147,Mm.,"So there's that on the one hand, but on the other hand, there's the kind of immediate, um, feeling when you've had a few to drink and you're with your mates and it feels like it would be a bit of a laugh?"
148,No.,So you've got-got those two things going on at the same time. Yeah?
149,Yeah.,"And it sounds like sometimes when you're in there with your mates and had a few drinks, it's hard to hold on to that vision of the future."
150,Mm.,"Okay. So what-wh-- in the moment, what are you thinking?"
151,"Yeah. You don't really think about that. Well, just in the moment.",Not really thinking or simply not thinking beyond the next-
152,Just have a bit of fun. Not really thinking.,-kind of minute or so-
153,Mm.,So it's not your idea. And you also go along with it?
154,"No. Just, like, it's not normally my idea, like someone else would just suggest it and you kind of just, yeah.",Mm-hmm. What would happen if you say no?
155,"Yeah. You can't really be like, ""Oh no,"" just give me shit.",Mm-hmm. So it's hard to actually say no to your friends-
156,"Just like, it can be shit and I still do it. They just-just call me a pussy or whatever and I don't know. And they'd talk me into it probably.",-'cause of what they- what they thought of you.
157,Yeah.,"Yeah. So I'm wondering what the-the thinking, 'cause, um, one of the things that's really changed for you is being with Donna."
158,"They'd just think I was joking, yeah.","So I'm wondering, you know, most of them butt-butts head on your friendships with those- with those guys."
159,Yeah.,Mm-hmm.
160,"I don't see them as much, but like she gets along with them aye, so-",Then so when you're-- so you're spending less time with them and more time with Donna?
161,"I don't think, like, I am not sure they like it.",Yeah. And you're saying you're kind of hanging out with her and going to movies and stuff? Yeah. And that means you're spending less time with your-- with those people that have actually led you in trouble in the past?
162,Yeah.,Okay. So tell me- tell me what it is that they do so I get a better understanding of it.
163,They don't lead me into trouble. But-,Yeah.
164,"Uh, like it's my choice though, they don't make me.",Okay. So that's just what you've always done.
165,"Yeah. I know it's just having grown up with, it's just what we've always done.",But we're also talking about this idea that it doesn't fit with what your goals are or what your hopes are?
166,Yeah.,Yeah. Mm. How would you like it to be?
167,Mm.,"Mm, well the stuff about when you're in the moment. Yeah."
168,"My life? Well, what do you mean?",When you've had a few drinks and you kind of go and get into trouble. How would you like that to be different?
169,Yeah.,Mm-hmm.
170,I don't know. Just more or less like if Donna was there and maybe if my mates got some girlfriends or something like that would calm them down too.,"Okay. So-so Donna's helped calm you down and you'd like, um, them to calm down too?"
171,"So just hang out instead of go and do stuff, like stupid stuff.",Mm.
172,"Yeah, 'cause then we could hang out together and stuff-",So am I hearing that it's tricky in some ways to hang out with them sometimes-
173,-with our girlfriends and stuff.,-now that you're with Donna?
174,Yeah.,Hmm.
175,"Yeah. Cause I like I feel guilty not spending my time with, yeah, Donna. Like, I miss my mates, like, I get lonely and stuff, but even though they get me into trouble, but-","Okay. So-so what's the definition, for you, of a good mate?"
176,"-just, kind of, feel stoked that-that I see them on the weekends and stuff.",Mm-hmm.
177,"It's, like, loyal-","So, someone who's loyal, someone who's got your back, yeah? What else? What else is really your definition of a really good mate?"
178,"-yes, someone who's got my back.",Hmm.
179,That's about it. It's-- yeah.,"Oh, so, someone who'll stand up for you?"
180,Someone who'll stand up for you.,Yeah? Yeah. Sounds like a really strong definition of a good mate-
181,Yeah.,"-for you? So, I'm wondering about, um, whether good mates lead you into trouble, if it's something you wanna do. If you got something different that you wanna do, what would a good mate do in that situation?"
182,Yeah.,"Yeah. How-how would you wanna be supported, Billy?"
183,"I mean, support me.","Mm. Okay, so that's-that's the kind of support that a really good mate would give you? It sounds-"
184,"Just don't give me shit about, I don't know. Um, yeah, just, if I- if I don't wanna go do something, don't, like, don't give me shit about it.",-like these guys have been around for you-
185,Yeah.,"-for quite some time, and they're really important to you."
186,"Yeah, yeah, they [unintelligible 00:36:38]","Yeah. Okay. So, I'm wondering how we can get to that point where, yeah, you can say, ""No, I don't wanna do that,"" and they're supportive of you?"
187,Yeah.,What do you think it would take?
188,Mm.,"Okay. So, how would they know you're serious?"
189,Just they know that I'm serious.,Okay.
190,"I guess, like, if they actually know I'm going to polytech and stuff that they might understand.",Okay. That's the second time you've used that word 'guilty'.
191,"But, like I feel guilty if they wanna go and have fun, and I'm not with them.","Yeah? So, it sounds like it's a really-- something's really important to you about that."
192,Yeah.,Mm.
193,"Yeah. Like, just going out with them or spending some times with them-- time with them, but, like, I really wanna spend time with Donna too-","Okay. So, it's almost as if you feel a bit torn because you wanna be with Donna, but you also wanna be with your-"
194,"-so, it'd be cool if we could spend time together, like, with Donna and my mates.",-with your mates?
195,Yeah.,Mm.
196,"Yeah, like-- Well, I know I get into trouble with them, but they're still my mates, and I-","Yeah, so they're still important to you?"
197,-feel--,Hmm. I also am hearing that you don't wanna get into trouble anymore.
198,Yeah.,Mm. Yeah.
199,No.,"I saw that your doctor made the referral and, um, and I really appreciate you taking the time to come and make that appointment."
200,No problem.,So you made it in here-
201,"Yeah, it's-it's a bit of an inconvenience I'd say, but I'm here though.",- and do you have a sense of-of what some of the doctor's concerns were that led her to refer you?
202,Mm-hmm.,"So your asthma has been acting up and there's a lot of stuff, not just the asthma going on?"
203,"I don't know, something about changing my life even more. You know, the smoking's been changed, and now it's, you know, cut down the drinking, get rid of those extra smokes, get rid of my dog. I don't know what else have to do.",Mm-hmm. Almost—
204,"Yeah, there's a lot of stress too. My wife's still on maternity leave, she's not getting paid, she's with the baby right now. And I'm the only person that's working right now, and plus I got to change all these things that are going on in my life.",Almost overwhelming it sounds like.
205,"Yeah, it's a lot.","Well, we have about, I guess, 15 or 20 minutes together and I wonder, would it be okay, if we took a couple of minutes and just kind of looked at all of the different things that are going on for you and maybe you can let me know, what would be the most helpful to spend-spend some time on?"
206,"Yeah, yeah, it is overwhelming. It is.","Okay. Well, one of the things that-that we use are these-- it's kind of like a worksheet and it's an agenda-setting worksheet basically."
207,"Yeah, it just feels like everything's all over the place but I guess we got to start somewhere.","So if you were to-to list all of the different things that people around you are saying that you need to work on or you need to change, what would some of those things be? And, Sal, just because we write them down here, it doesn't mean that you have to change them."
208,Mm-hmm.,"It really-- You're in the driver's seat, so it's just to kind of put all the cards on the table, so to speak."
209,Okay.,Yep.
210,"Okay. Um, okay, that sounds good. As long as I'm not changing anything and we're just kind of putting, um, I guess, pen to paper or something.","Okay, so asthma is one."
211,"Um, okay, so my asthma.",What else?
212,Yeah.,"So your dog, and-and the doctor's saying the dog's—"
213,"Um, the fact that they want me to get rid of Oscar, that's-that's my dog.",Okay.
214,"Well, he's-- Yeah, he's saying it's a main-- It's a main contributor to my asthma problems.",That's pretty shocking to be told that you have to get rid of your dog.
215,"Which I don't- I don't- I don't- I don't buy it and I can't just get rid of him like that, but it's something that's there.",Hmm. So that's a huge stress right now?
216,Yeah. The dog has been there before my wife. I know I've had him longer.,"Okay, so smoking and-and I'm working towards quitting completely sounds like that's a goal for you?"
217,"Yeah. Yeah, it's- it's a big stress, it's like my best friend, so that's one of the important things. Also, I guess, cutting down these last cigarettes I've been working on.","Okay, so money."
218,"Um, finances is a problem right now too.","Right. Right, right. So the appointments and time."
219,"Time, I got to come to all these appointments and I'm taking time off work, which obviously is the money factor, right?","Um, and some of these things are kind of related to each other I think we're already seeing."
220,Mm-hmm.,"Okay, wow. So there's a lot happening right now, Sal. Anything else that that's concerning you?"
221,"Yeah, yeah. Yeah, there's something going on. And, um, also my drinking, I got to cut down my drinking too.","Right. Well, so where would you-- I mean, if you-you had to pick somewhere, one or two kind of high priorities or-or things to talk about in our time this morning, where would you wanna start?"
222,"No. It's just overwhelming when you see them everything they're, you know?",Okay.
223,"I think- I think the thoughts about the dog has been definitely bothering me, that's been one.","Okay, and those are ones that are pretty related to each other-"
224,"And, um, my-my asthma is out of control too. So maybe those two.",- sounds like. Okay.
225,Mm-hmm.,Sounds like a wild night.
226,"Um, it's really stupid. Uh, I was at a pub crawl last night and you know how pub crawls are. You have a few drinks and then I thought it was a really good idea to catch up with my friends who are, yeah, they're in front of me. So I just like jumped off the stairs of the bus and I was wearing these like stilettos 'cause it was a 90s-themed pub crawl. Anyway, and then I just like fell on my ankle. It was really embarrassing.",Yeah.
227,Yeah.,"No, I guess that that would be the end of your, uh, shaking and moving. I know-- I wonder if you'd be open to exploring your alcohol use and what that looks like during the week."
228,It was a lot of fun but I didn't do any dancing after that.,You're still feeling the effects of-
229,"Uh, sure, uh, as long as we don't talk too much about like vodka 'cause I'm still, ugh, a little—","-last night, are you?"
230,Yeah.,"Oh wow, it was-"
231,A little bit.,-really a rough night.
232,Yeah.,So what is a typical week for you as far as your alcohol use?
233,"Well, it's normal.",So a few drinks is nothing new to you?
234,"Um, well, me and my friends kinda, uh, we party on the weekend and, you know, we're all university students and so it's just normal, um, to have a few drinks.",And what does a few drinks look like? Is that per night? Is it two drinks?
235,No.,All right. Do you have any concerns at all about your alcohol use?
236,"Um, per night, uh, like if we go out oh, it's a lot. It's like I can drink probably like seven or eight drinks like if I'm going hard. Um, and then, you know, like maybe when I get home from school, a long day at the library, have a beer or two, so.","Okay, so at this point, you're not too concerned and you think that, you know, this is what the other students are doing?"
237,No. I-I don't know. It's normal for university students I feel.,Would you be open to kind of looking at the low-risk drinking alcohol guidelines?
238,Yeah.,I don't know how you're feeling right now but I'm just wondering if we can take a-just a quick glance at this-
239,"Yeah, sure.","-and what the safe limits are for women is 10 drinks for women a week with about two drinks, uh, per day."
240,Yeah.,Yeah.
241,Oh really?,Where do you- where do you feel you fall into that?
242,Wow.,"Okay, okay."
243,"Uh, uh I would say a little over that.","Okay, so it's kind of a way to cope through stress?"
244,Especially with midterms coming up.,"Right, and is that something that has been, you know, a way of coping for a while?"
245,Yeah.,Okay. Does that concern you at all?
246,"Yeah. Yeah, I guess.",Mm-hmm.
247,"Um, I mean, the 10 drinks seems like not a lot, uh, for like-for me and like my tolerance.",Okay.
248,I guess I've kind of built it up over the years.,Do you feel like you have any reasons to kind of bring your alcohol use down within the limits?
249,"Um, so that's a little- a little bit, uh, concerning I guess to me.",Tell me more about that.
250,"Uh, any reason to? Uh, I guess health-health reasons.",So you can see some advantages to reducing the amount of drinking-
251,"Um, well, I mean, clearly I don't feel good right now. Um, and it's-- I definitely feel more productive when I don't have a hangover. Uh, so I see a benefit.","-um, that you consume during the week?"
252,Yeah.,Is this something you would be willing to explore with me a little further at another time maybe when you're feeling a little bit better? Is this something you'd be willing to come back and talk to me about?
253,Yeah,"I'd love to, uh, set up an appointment for you if you can come in later this week or early next week to-"
254,"Yeah, yeah, I think when I'm feeling a little- a little better. Maybe when I haven't gone all out the-the night before and sprained my ankle.",-kind of explore this a little bit further and maybe some of those advantages of reducing to the safe limits. Is that something that we could do?
255,"Okay, okay.",That's okay with me.
256,"Sure. Yeah, just not on a Saturday morning. [chuckles]",Thank you.
